"filename", "language", "JSON", "JavaScript", "PostCSS", "HTML", "Shell Script", "Markdown", "comment", "blank", "total"
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\operations.js", "JavaScript", 0, 224, 0, 0, 0, 0, 18, 56, 298
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\locations\ui.js", "JavaScript", 0, 321, 0, 0, 0, 0, 16, 49, 386
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\temporal\index.js", "JavaScript", 0, 321, 0, 0, 0, 0, 17, 70, 408
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\timeline\init.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\admin-interface\js\modules\timeline\timeline.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\deploy-from-github.sh", "Shell Script", 0, 0, 0, 0, 10, 0, 2, 1, 13
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\docs\API.md", "Markdown", 0, 0, 0, 0, 0, 180, 0, 29, 209
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\docs\DEPLOYMENT.md", "Markdown", 0, 0, 0, 0, 0, 221, 0, 66, 287
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\middleware\auth.js", "JavaScript", 0, 27, 0, 0, 0, 0, 7, 5, 39
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\activity.js", "JavaScript", 0, 148, 0, 0, 0, 0, 21, 29, 198
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\auth.js", "JavaScript", 0, 57, 0, 0, 0, 0, 5, 12, 74
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\changelog.js", "JavaScript", 0, 383, 0, 0, 0, 0, 47, 67, 497
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\character-paths.js", "JavaScript", 0, 229, 0, 0, 0, 0, 25, 43, 297
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\characters.js", "JavaScript", 0, 1061, 0, 0, 0, 0, 125, 203, 1389
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\config.js", "JavaScript", 0, 107, 0, 0, 0, 0, 4, 8, 119
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\dynamics.js", "JavaScript", 0, 389, 0, 0, 0, 0, 15, 45, 449
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\journey.js", "JavaScript", 0, 255, 0, 0, 0, 0, 16, 47, 318
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\locations.js", "JavaScript", 0, 341, 0, 0, 0, 0, 54, 67, 462
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\routes\temporal-features.js", "JavaScript", 0, 389, 0, 0, 0, 0, 15, 45, 449
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\config.js", "JavaScript", 0, 98, 0, 0, 0, 0, 14, 17, 129
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\journey.js", "JavaScript", 0, 0, 0, 0, 0, 0, 2, 2, 4
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-config-to-github.js", "JavaScript", 0, 30, 0, 0, 0, 0, 7, 11, 48
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-config.js", "JavaScript", 0, 25, 0, 0, 0, 0, 5, 10, 40
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\scripts\sync-to-main-site.js", "JavaScript", 0, 32, 0, 0, 0, 0, 6, 11, 49
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\server.js", "JavaScript", 0, 106, 0, 0, 0, 0, 16, 20, 142
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\server\sync-to-github.sh", "Shell Script", 0, 0, 0, 0, 86, 0, 21, 28, 135
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\character-system.js", "JavaScript", 0, 29, 0, 0, 0, 0, 5, 6, 40
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\location-system.js", "JavaScript", 0, 238, 0, 0, 0, 0, 12, 21, 271
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\movement-system.js", "JavaScript", 0, 100, 0, 0, 0, 0, 17, 24, 141
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\search-system.js", "JavaScript", 0, 151, 0, 0, 0, 0, 6, 26, 183
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\character-panel.js", "JavaScript", 0, 59, 0, 0, 0, 0, 9, 11, 79
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\coordinate-copy.js", "JavaScript", 0, -82, 0, 0, 0, 0, 1, -9, -90
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\map-controls.js", "JavaScript", 0, 150, 0, 0, 0, 0, 27, 40, 217
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-timeline-optimized.js", "JavaScript", 0, 322, 0, 0, 0, 0, 21, 55, 398
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-timeline.js", "JavaScript", 0, 1347, 0, 0, 0, 0, 91, 168, 1606
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\coordinate-utils.js", "JavaScript", 0, 2, 0, 0, 0, 0, 1, 0, 3
"c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\image-hover-preview.js", "JavaScript", 0, 273, 0, 0, 0, 0, 37, 56, 366
"Total", "-", 3860, 13202, 4599, 486, 96, 757, 1549, 3363, 27912
