Date : 2025-08-29 17:07:22
Directory : c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map
Total : 104 files,  20039 codes, 1539 comments, 3295 blanks, all 24873 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character.svg                              | XML        |          5 |          0 |          0 |          5 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_ally.svg                         | XML        |          6 |          0 |          0 |          6 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_enemy.svg                        | XML        |          6 |          0 |          0 |          6 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\character_neutral.svg                      | XML        |          8 |          0 |          0 |          8 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\dot_orange.svg                             | XML        |         10 |          1 |          8 |         19 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\icons\dot_orange_dark.svg                        | XML        |         10 |          1 |          9 |         20 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\public\service-worker.js                                | JavaScript |        259 |         40 |         57 |        356 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\config.js                                      | JavaScript |         98 |         28 |         17 |        143 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\main.js                                        | JavaScript |        542 |         84 |        115 |        741 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\core\map-core.js                                    | JavaScript |        289 |         47 |         68 |        404 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\character-system.js                         | JavaScript |        525 |         78 |         94 |        697 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\location-system.js                          | JavaScript |        617 |         67 |         98 |        782 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\movement-system.js                          | JavaScript |        214 |         39 |         53 |        306 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\systems\search-system.js                            | JavaScript |        212 |         27 |         44 |        283 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\character-panel.js                    | JavaScript |        389 |         36 |         79 |        504 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\coordinate-copy.js                    | JavaScript |        259 |         26 |         46 |        331 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\components\movement-markers.js                   | JavaScript |        470 |         82 |         98 |        650 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\ui\gallery.js                                       | JavaScript |         90 |          8 |         23 |        121 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\advanced-loader.js                            | JavaScript |        318 |         43 |         66 |        427 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\bundle-analyzer.js                            | JavaScript |        363 |         76 |         82 |        521 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\char-path-api.js                              | JavaScript |        200 |         20 |         49 |        269 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\coordinate-utils.js                           | JavaScript |        140 |         17 |         34 |        191 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\data-config.js                                | JavaScript |         87 |         24 |         23 |        134 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\data-manager.js                               | JavaScript |        333 |         45 |         84 |        462 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\data-utils.js                                 | JavaScript |         98 |          8 |         17 |        123 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\event-utils.js                                | JavaScript |        109 |          9 |         18 |        136 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\github-version.js                             | JavaScript |        102 |         14 |         22 |        138 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\http-utils.js                                 | JavaScript |        150 |         53 |         33 |        236 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\icons.js                                      | JavaScript |         84 |         43 |         34 |        161 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\journey.js                                    | JavaScript |        248 |         33 |         56 |        337 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\logger.js                                     | JavaScript |         67 |          2 |         23 |         92 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\map-utils.js                                  | JavaScript |         48 |          2 |          9 |         59 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\memory-utils.js                               | JavaScript |        227 |         32 |         55 |        314 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\module-loader.js                              | JavaScript |        338 |         83 |         79 |        500 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\notification-utils.js                         | JavaScript |        130 |         20 |         30 |        180 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\performance-utils.js                          | JavaScript |        245 |         20 |         58 |        323 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\state-manager.js                              | JavaScript |        234 |         24 |         53 |        311 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\sw-manager.js                                 | JavaScript |        285 |         32 |         56 |        373 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\utils\webpack-analyzer.js                           | JavaScript |        433 |         98 |         88 |        619 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\src\vendor\leaflet.curve.js                             | JavaScript |        401 |         24 |         66 |        491 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\test\advanced-loading-test.html                         | HTML       |        387 |          1 |         58 |        446 |
| c:\Users\piogi\OneDrive\Coding\Git\Adenai-Map\test\bundle-optimization-test.html                      | HTML       |        604 |         10 |        116 |        730 |
| Total                                                                                                 |            |     20,039 |      1,539 |      3,295 |     24,873 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
